"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"Sorangium sp. So ce291",10.7527433605736,-5.96127687949068,2.49598205121423,-2.38834925779642,0.0169242496587869,0.0589704324048356
"Quatrionicoccus australiensis",10.2746255356628,7.20245828564722,3.02510803403558,2.38089291509994,0.0172707316896978,0.0597112118884126
"Chania multitudinisentens",14.0058849792364,-6.92638433219221,2.91814840084159,-2.37355452183126,0.0176177917942489,0.0604425780018079
"Trypanosoma brucei",13.2093274763217,-6.83323999362042,2.88511676945596,-2.36844486364028,0.0178630426761333,0.0608161605614919
"Streptomyces sp. NBC_00286",9.72419916768083,7.12275342264054,3.02530192648154,2.35439423757759,0.0185529224743751,0.0626863895725099
"Sulfitobacter mediterraneus",10.4485202055416,7.0981973187974,3.02543806862022,2.34617174696774,0.0189673651864584,0.0636048486703793
"Leishmania mexicana",17.7437779743483,-6.61627772399342,2.8249443757325,-2.34209132782582,0.0191760219091291,0.0638246699363551
"Streptomyces aurantiacus",11.7125878192275,-6.65659261625391,2.87807639524331,-2.31286168332969,0.0207302450842646,0.0684865874635705
"Actinokineospora sp. G85",9.05079938340807,6.93474969953241,3.02581373922984,2.29186271766269,0.021913566207432,0.0715963176799992
"Babesia bigemina",7.5277853088804,-5.76803492089731,2.5182473074886,-2.29049581577819,0.0219925908568608,0.0715963176799992
"Sutterella wadsworthensis",8.256395519729,6.88578820374049,3.02594568593264,2.27558222070935,0.0228710264586247,0.0730475344483891
"Stutzerimonas stutzeri",29.8937261624677,-6.8592615180307,3.01543574126993,-2.27471652741702,0.0229229403868399,0.0730475344483891
"Spirosoma aerolatum",9.50861138191397,6.8829198576145,3.02598651731824,2.27460361049938,0.0229297193335751,0.0730475344483891
"Pseudooceanicola antarcticus",10.9334242432373,-6.51772439598749,2.87486162170359,-2.26714369372854,0.0233814491503378,0.0739583427024869
"Naumovozyma castellii",12.7939678620996,-6.79138048025197,3.02345091908204,-2.2462347370646,0.0246889763301744,0.0775442496004068
"Nonomuraea gerenzanensis",7.70596915174707,6.78582764166989,3.02625049499294,2.24232186096205,0.0249405778686434,0.0777866974084962
"Sneathiella sp. D3-11",7.90094190831454,6.74100670660228,3.02644511254512,2.22736790390141,0.0259226956796737,0.0802883491189893
"Longispora sp. K20-0274",12.4854788795854,-6.22820899026134,2.83560901804339,-2.19642727563298,0.0280613751672275,0.0862448833784103
"Hemiselmis andersenii",6.97206732777116,6.64076703391431,3.02673199812147,2.19403866547678,0.0282326299848608,0.0862448833784103
"Gracilibacillus caseinilyticus",7.5540072772861,6.63207832345602,3.02676434663789,2.19114459003817,0.0284413308432593,0.0862913847353311
"Microvirga sp. RSM25",9.14349001374497,-6.27878100095623,2.87487783174022,-2.18401663251045,0.0289610258980255,0.0872744429089147
"Phaeodactylum tricornutum",24.713622986977,-4.23816134830617,1.96480934184757,-2.15703440432592,0.0310029838741977,0.0928008779053167
"Maricaulis maris",6.42164095978923,6.52151859092949,3.02716558906206,2.15433163434912,0.0312141737387559,0.0928101432499008
"Pigmentiphaga aceris",6.05469004780127,6.43616572565371,3.02749860059226,2.12590213068789,0.0335114094514208,0.0989807193068455
"Streptomyces sp. NBC_01754",18.4253397053974,-6.37001319384164,3.00922931755496,-2.11682544652907,0.0342746648653907,0.0997788294023549
"Streptomyces kronopolitis",9.68465265914875,-6.3956213109054,3.02419059736112,-2.11482084379409,0.0344452196600881,0.0997788294023549
"Kutzneria sp. CA-103260",142.675958435968,3.54468384559597,1.67705948627192,2.11363035993181,0.0345468507015721,0.0997788294023549
"Borreliella burgdorferi",65.7751698569534,-4.57615443653238,2.16721772374048,-2.11153424337737,0.0347264177994875,0.0997788294023549
"Carbonicoccus zhangzhihongae",31.5631556693821,6.3660427364385,3.01777661503368,2.10951423797399,0.0349002183559806,0.0997788294023549
"Xanthomonas phage vB_XooS_NR08",76.7149281504159,-4.19793571454469,1.99331967455967,-2.10600224746793,0.0352041571249288,0.100006713870817
"Frankia casuarinae",5.50426367981934,6.2978507328315,3.02808168808739,2.0798153357644,0.0375424739243013,0.105804633566178
"Penicillium oxalicum",219.17201485345,6.0874359692753,2.92962527562727,2.07788894365404,0.0377195890964624,0.105804633566178
"Kroppenstedtia eburnea",8.75119731293112,-5.98077117068602,2.89711353629021,-2.06438964016042,0.038980787941261,0.10824117846471
"Candidatus Palauibacter irciniicola",5.32078822382536,6.24863321947598,3.02830296601554,2.06341085736794,0.0390736092664089,0.10824117846471
"Lichenicola sp.",7.80235686225436,-5.84960021568201,2.84322052764553,-2.05738533427305,0.039649174731662,0.109157604508156
"Ustilaginoidea virens",355.914299891531,2.9499429433882,1.44068771835262,2.04759359423246,0.0405998375431475,0.110724011089256
"Tundrisphaera lichenicola",5.13731276783138,6.1976776032301,3.02854011277252,2.04642414247449,0.0407146587861837,0.110724011089256
"Marinobacterium iners",8.12131041701919,-6.14167306627769,3.02484873683168,-2.03040667504937,0.0423152187196361,0.114379318478532
"Staphylococcus simulans",5.27072502462488,6.12912055899569,3.02887174767618,2.02356556156532,0.0430148714656821,0.115570076347555
"Candidatus Symbiobacter mobilis",4.77036185584342,6.09002648110742,3.02906937820813,2.01052723484004,0.0443754166975961,0.117568415406217
"Rhodopseudomonas palustris",7.77398118214788,-6.07736084725292,3.02504901084631,-2.00901235829983,0.0445358231374537,0.117568415406217
"Leisingera caerulea",22.3305218584938,6.0640702094467,3.02187993048616,2.00672109711226,0.0447793683478462,0.117568415406217
"Croceibacterium sp. TMG7-5b_MA50",7.85032457547249,-6.06826090780542,3.02537967781815,-2.00578491099727,0.0448792012187839,0.117568415406217
"Microterricola viridarii",6.40109147097104,-5.734691305712,2.86259115411373,-2.00332181473798,0.0451427574634675,0.117568415406217
"Fusarium poae",268.662691931834,5.96001771550762,2.97779973730463,2.00148372667343,0.0453402857620389,0.117568415406217
"Ogataea parapolymorpha",7.67921606419195,-6.03998092642614,3.02542481790492,-1.99640754272942,0.0458895804691993,0.118304929995739
"Gymnodinialimonas sp. 57CJ19",37.2865108294476,3.85174783138661,1.93470631400313,1.9908695203547,0.0464952338813459,0.119177438569427
"Sorangium sp. So ce1099",6.09326015324144,-5.71403793638348,2.88049687698592,-1.98369870907914,0.0472894375720581,0.12052050946936
"Marinobacter apostichopi",7.26239334091231,-5.97440674095499,3.02542278420889,-1.97473449731992,0.0482982859019189,0.122392247228726
"Photobacterium toruni",5.77836197927637,5.97561244463586,3.02985468098605,1.97224391061921,0.0485817691866067,0.122415079419359
"Streptomyces sp. ACT015",14.2347278911659,5.93404296772686,3.01405271600514,1.96879203081488,0.0489769778055368,0.122717596074547
"Alloacidobacterium dinghuense",6.38386840506679,-5.56629765411206,2.85015125274588,-1.95298324913437,0.0508215800952418,0.126488192838467
"Hwanghaeella sp.",4.21993548786149,5.91180541814707,3.03003672377139,1.95106725003281,0.0510490464370494,0.126488192838467
"Fusarium musae",151.735095341928,5.78095590011178,2.98652752819472,1.93567808953237,0.0529071395946193,0.13036786883536
"Nocardioides pantholopis",10.3787128517024,-5.82720339098291,3.01483298650032,-1.93284451147897,0.0532553551489531,0.130504881299083
"Dankookia sp. P2",11.7654757030201,5.84118735645729,3.02814082659056,1.92896819895724,0.0537348102624813,0.130960247962113
"Sorangium cellulosum",3.85298457587353,5.77945238128629,3.03083600776617,1.90688389819743,0.0565356237170435,0.137037435748921
